(i(yvlg1.p)) (REAL.A)      (v(p)) (REAL.V)
             0.00000              0.00000
            0.00000f             5.02655m
            1.34223p            10.05309m
            2.70246p            20.10611m
            5.47789p            40.21171m
            9.05267p            65.34222m
           12.74821p            90.47015m
           16.56844p           115.59451m
           20.51738p           140.71431m
           24.59917p           165.82855m
           28.81809p           190.93625m
           33.17854p           216.03641m
           37.68502p           241.12804m
           42.34220p           266.21015m
           47.15486p           291.28175m
           52.12791p           316.34185m
           57.26643p           341.38946m
           62.57560p           366.42359m
           68.06078p           391.44326m
           73.72747p           416.44748m
           79.58131p           441.43525m
           85.62811p           466.40560m
           91.87383p           491.35754m
           98.32459p           516.29007m
          104.98668p           541.20223m
          111.86657p           566.09302m
          118.97087p           590.96146m
          126.30639p           615.80657m
          133.88010p           640.62737m
          141.69918p           665.42288m
          149.77096p           690.19211m
          158.10298p           714.93411m
          166.70296p           739.64787m
          175.57882p           764.33244m
          184.73867p           788.98683m
          194.19083p           813.61008m
          203.94382p           838.20120m
          214.00635p           862.75923m
          224.38736p           887.28321m
          235.09601p           911.77215m
          246.14164p           936.22510m
          257.53383p           960.64109m
          269.28239p           985.01916m
          281.39734p              1.00936
          293.88892p              1.03366
          306.76762p              1.05792
          320.04413p              1.08213
          333.72940p              1.10631
          347.83460p              1.13044
          362.37114p              1.15452
          377.35068p              1.17856
          392.78511p              1.20256
          408.68655p              1.22650
          425.06739p              1.25040
          441.94025p              1.27425
          459.31800p              1.29805
          477.21374p              1.32179
          495.64085p              1.34549
          514.61293p              1.36913
          534.14384p              1.39272
          554.24768p              1.41625
          574.93881p              1.43973
          596.23184p              1.46315
          618.14159p              1.48651
          640.68318p              1.50981
          663.87193p              1.53306
          687.72343p              1.55624
          712.25349p              1.57936
          737.47817p              1.60242
          763.41376p              1.62542
          790.07679p              1.64835
          817.48401p              1.67121
          845.65241p              1.69402
          874.59918p              1.71675
          904.34174p              1.73942
          934.89772p              1.76201
          966.28496p              1.78454
          998.52148p              1.80700
            1.03163n              1.82939
            1.06562n              1.85170
            1.10051n              1.87394
            1.13633n              1.89611
            1.17309n              1.91820
            1.21081n              1.94022
            1.24951n              1.96216
            1.28921n              1.98402
            1.32993n              2.00580
            1.37170n              2.02751
            1.41451n              2.04913
            1.45841n              2.07067
            1.50341n              2.09214
            1.54952n              2.11352
            1.59678n              2.13481
            1.69478n              2.17715
            1.74557n              2.19819
            1.85083n              2.24001
            1.90533n              2.26079
            2.01820n              2.30208
            2.07660n              2.32258
            2.19744n              2.36332
            2.25992n              2.38355
            2.38908n              2.42373
            2.45580n              2.44368
            2.59362n              2.48328
            2.66476n              2.50293
            2.81156n              2.54194
            2.88727n              2.56130
            3.04337n              2.59970
            3.12380n              2.61875
            3.28948n              2.65654
            3.37477n              2.67528
            3.55029n              2.71243
            3.64055n              2.73085
            3.82614n              2.76736
            3.92149n              2.78546
            4.11734n              2.82131
            4.21786n              2.83907
            4.42412n              2.87425
            4.52987n              2.89168
            4.74664n              2.92618
            4.85766n              2.94325
            5.08500n              2.97706
            5.20131n              2.99379
            5.43921n              3.02689
            5.56079n              3.04326
            5.80918n              3.07564
            5.93598n              3.09164
            6.19473n              3.12329
            6.32666n              3.13893
            6.59557n              3.16984
            7.15312n              3.23015
            7.29650n              3.24491
            7.58790n              3.27404
            8.18847n              3.33076
            8.34214n              3.34461
            8.65347n              3.37191
            9.29103n              3.42492
            9.45329n              3.43784
            9.78091n              3.46326
            9.79190n              3.46410
            9.95724n              3.47660
           10.29059n              3.50118
           10.96662n              3.54869
           11.13727n              3.56021
           11.48028n              3.58285
           12.17333n              3.62641
           12.34804n              3.63694
           12.70060n              3.65758
           13.43434n              3.69712
           13.62669n              3.70664
           14.03685n              3.72524
           15.08637n              3.76068
           21.57746n              3.82440
           23.05190n              3.83169
           24.87488n              3.83883
           27.12944n              3.84582
           29.91495n              3.85265
           33.34988n              3.85933
           36.06390n              3.86370
           41.39015n              3.87013
           45.21896n              3.87641
           52.43166n              3.88253
           61.18454n              3.88850
           71.75807n              3.89432
           84.47169n              3.89998
           99.68496n              3.90549
          117.79901n              3.91084
          139.25705n              3.91604
          164.54384n              3.92108
          194.18372n              3.92597
          228.73713n              3.93071
          268.79528n              3.93529
          314.97280n              3.93971
          367.89820n              3.94398
          428.20219n              3.94810
          496.50377n              3.95206
          573.39434n              3.95586
          659.42013n              3.95950
          755.06342n              3.96299
          860.72320n              3.96632
          976.69598n              3.96950
            1.10316u              3.97252
            1.24015u              3.97538
            1.38756u              3.97809
            1.54512u              3.98064
            1.71239u              3.98303
            1.88879u              3.98526
            2.07357u              3.98734
            2.26583u              3.98926
            2.46456u              3.99102
            2.66862u              3.99262
            2.87681u              3.99407
            3.08788u              3.99536
            3.30053u              3.99649
            3.51348u              3.99746
            3.72547u              3.99828
            3.93530u              3.99894
            4.14183u              3.99944
            4.34402u              3.99978
            4.54092u              3.99996
            4.66814u              4.00000
            4.85106u              3.99992
            4.93636u              3.99968
            5.10918u              3.99929
            5.27518u              3.99874
            5.43252u              3.99803
            5.58097u              3.99716
            5.72042u              3.99613
            5.85086u              3.99495
            5.97235u              3.99361
            6.08501u              3.99211
            6.18903u              3.99045
            6.28464u              3.98864
